Jurisdiction,Year,Fuel,Unit,Quantity
AUS,2002-03,Black coal,GWh,115296.6
AUS,2002-03,Brown coal,GWh,55160.3
AUS,2002-03,Geothermal,GWh,
AUS,2002-03,Hydro,GWh,16490
AUS,2002-03,Large-scale solar PV,GWh,
AUS,2002-03,Natural gas,GWh,29375.3
AUS,2002-03,Oil products,GWh,1661
AUS,2002-03,Other,GWh,1792.2
AUS,2002-03,Small-scale solar PV,GWh,58.3
AUS,2002-03,Total,GWh,222120.4
AUS,2002-03,Total non-renewable,GWh,203285.4
AUS,2002-03,Total renewable,GWh,18835
AUS,2002-03,Wind,GWh,703.1
AUS,2003-04,"Bagasse, wood",GWh,1058.2
AUS,2003-04,Biogas,GWh,741.3
AUS,2003-04,Black coal,GWh,121182.3
AUS,2003-04,Brown coal,GWh,55572.8
AUS,2003-04,Geothermal,GWh,0.5
AUS,2003-04,Hydro,GWh,16331.1
AUS,2003-04,Large-scale solar PV,GWh,
AUS,2003-04,Natural gas,GWh,30919.4
AUS,2003-04,Oil products,GWh,1388.7
AUS,2003-04,Other,GWh,1817
AUS,2003-04,Small-scale solar PV,GWh,68.1
AUS,2003-04,Total,GWh,229784.4
AUS,2003-04,Total non-renewable,GWh,210880.2
AUS,2003-04,Total renewable,GWh,18904.2
AUS,2003-04,Wind,GWh,705
AUS,2004-05,"Bagasse, wood",GWh,3237
AUS,2004-05,Biogas,GWh,593
AUS,2004-05,Black coal,GWh,127788.5
AUS,2004-05,Brown coal,GWh,53377.8
AUS,2004-05,Geothermal,GWh,0.5
AUS,2004-05,Hydro,GWh,15612.2
AUS,2004-05,Large-scale solar PV,GWh,
AUS,2004-05,Natural gas,GWh,23802.9
AUS,2004-05,Oil products,GWh,2841
AUS,2004-05,Other,GWh,434
AUS,2004-05,Small-scale solar PV,GWh,77.8
AUS,2004-05,Total,GWh,228649.7
AUS,2004-05,Total non-renewable,GWh,208244.2
AUS,2004-05,Total renewable,GWh,20405.5
AUS,2004-05,Wind,GWh,885
AUS,2005-06,"Bagasse, wood",GWh,3268
AUS,2005-06,Biogas,GWh,643
AUS,2005-06,Black coal,GWh,130231.6
AUS,2005-06,Brown coal,GWh,54552.8
AUS,2005-06,Geothermal,GWh,0.5
AUS,2005-06,Hydro,GWh,16029.2
AUS,2005-06,Large-scale solar PV,GWh,
AUS,2005-06,Natural gas,GWh,22725.9
AUS,2005-06,Oil products,GWh,3058
AUS,2005-06,Other,GWh,517
AUS,2005-06,Small-scale solar PV,GWh,90.3
AUS,2005-06,Total,GWh,232829.4
AUS,2005-06,Total non-renewable,GWh,211085.3
AUS,2005-06,Total renewable,GWh,21744.1
AUS,2005-06,Wind,GWh,1713.1
