Jurisdiction,Year,Fuel,Unit,Quantity
NT,2018,Total,GWh,3981.655
NT,2018,Total non-renewable,GWh,3841.57
NT,2018,Total renewable,GWh,140.085
NT,2018,Wind,GWh,
NT,2019,Biomass,GWh,8.466
NT,2019,Black coal,GWh,
NT,2019,Brown coal,GWh,
NT,2019,Geothermal,GWh,
NT,2019,Hydro,GWh,
NT,2019,Large-scale solar PV,GWh,40.239
NT,2019,Natural gas,GWh,3894.117
NT,2019,Oil products,GWh,649.687
NT,2019,Small-scale solar PV,GWh,138.716
NT,2019,Total,GWh,4731.256
NT,2019,Total non-renewable,GWh,4543.805
NT,2019,Total renewable,GWh,187.451
NT,2019,Wind,GWh,
NT,2020,Biomass,GWh,8.361
NT,2020,Black coal,GWh,
NT,2020,Brown coal,GWh,
NT,2020,Geothermal,GWh,
NT,2020,Hydro,GWh,
NT,2020,Large-scale solar PV,GWh,38.26
NT,2020,Natural gas,GWh,4285.007
NT,2020,Oil products,GWh,504.397
NT,2020,Small-scale solar PV,GWh,184.469
NT,2020,Total,GWh,5020.524
NT,2020,Total non-renewable,GWh,4789.404
NT,2020,Total renewable,GWh,231.12
NT,2020,Wind,GWh,
NT,2021,Biomass,GWh,6.867
NT,2021,Black coal,GWh,
NT,2021,Brown coal,GWh,
NT,2021,Geothermal,GWh,
NT,2021,Hydro,GWh,0.03
NT,2021,Large-scale solar PV,GWh,48.453
NT,2021,Natural gas,GWh,4352.231
NT,2021,Oil products,GWh,482.206
NT,2021,Small-scale solar PV,GWh,217.857
NT,2021,Total,GWh,5107.645
NT,2021,Total non-renewable,GWh,4834.438
NT,2021,Total renewable,GWh,273.208
NT,2021,Wind,GWh,0
NT,2022,Biomass,GWh,6.67
NT,2022,Black coal,GWh,
NT,2022,Brown coal,GWh,
NT,2022,Geothermal,GWh,
NT,2022,Hydro,GWh,0.03
NT,2022,Large-scale solar PV,GWh,43.802
NT,2022,Natural gas,GWh,4561.489
NT,2022,Oil products,GWh,461.921
NT,2022,Small-scale solar PV,GWh,244.445
NT,2022,Total,GWh,5318.359
NT,2022,Total non-renewable,GWh,5023.411
NT,2022,Total renewable,GWh,294.948
NT,2022,Wind,GWh,0
QLD,2015,Biomass,GWh,1639.588
QLD,2015,Black coal,GWh,46368.493
QLD,2015,Brown coal,GWh,
QLD,2015,Geothermal,GWh,0.426
QLD,2015,Hydro,GWh,506.916
QLD,2015,Large-scale solar PV,GWh,8.038
QLD,2015,Natural gas,GWh,15770.334
QLD,2015,Oil products,GWh,1080.259
QLD,2015,Small-scale solar PV,GWh,1922.697
QLD,2015,Total,GWh,67327.511
QLD,2015,Total non-renewable,GWh,63219.086
QLD,2015,Total renewable,GWh,4108.426
QLD,2015,Wind,GWh,30.761
QLD,2016,Biomass,GWh,1540.785
QLD,2016,Black coal,GWh,49884.198
QLD,2016,Brown coal,GWh,
QLD,2016,Geothermal,GWh,0.358
QLD,2016,Hydro,GWh,543.532
QLD,2016,Large-scale solar PV,GWh,17.068
QLD,2016,Natural gas,GWh,12532.949
QLD,2016,Oil products,GWh,1171.967
QLD,2016,Small-scale solar PV,GWh,2177.444
QLD,2016,Total,GWh,67894.91
QLD,2016,Total non-renewable,GWh,63589.115
QLD,2016,Total renewable,GWh,4305.796
QLD,2016,Wind,GWh,26.609
QLD,2017,Biomass,GWh,1422.24
QLD,2017,Black coal,GWh,52444.268
QLD,2017,Brown coal,GWh,
QLD,2017,Geothermal,GWh,0.251
QLD,2017,Hydro,GWh,662.118
QLD,2017,Large-scale solar PV,GWh,85.823
QLD,2017,Natural gas,GWh,11661.368
QLD,2017,Oil products,GWh,1164.163
QLD,2017,Small-scale solar PV,GWh,2525.513
QLD,2017,Total,GWh,69994.201
QLD,2017,Total non-renewable,GWh,65269.799
QLD,2017,Total renewable,GWh,4724.402
QLD,2017,Wind,GWh,28.457
QLD,2018,Biomass,GWh,1378.685
QLD,2018,Black coal,GWh,52946.756
QLD,2018,Brown coal,GWh,
QLD,2018,Geothermal,GWh,
QLD,2018,Hydro,GWh,825.166
QLD,2018,Large-scale solar PV,GWh,818.575
QLD,2018,Natural gas,GWh,10416.212
QLD,2018,Oil products,GWh,1024.087
QLD,2018,Small-scale solar PV,GWh,3024.098
QLD,2018,Total,GWh,70574.17
QLD,2018,Total non-renewable,GWh,64387.054
QLD,2018,Total renewable,GWh,6187.116
QLD,2018,Wind,GWh,140.593
QLD,2019,Biomass,GWh,1269.35
QLD,2019,Black coal,GWh,50114.071
QLD,2019,Brown coal,GWh,
QLD,2019,Geothermal,GWh,
QLD,2019,Hydro,GWh,1067.682
QLD,2019,Large-scale solar PV,GWh,2733.39
QLD,2019,Natural gas,GWh,10564.137
QLD,2019,Oil products,GWh,1000.841
QLD,2019,Small-scale solar PV,GWh,3692.471
QLD,2019,Total,GWh,71066.455
QLD,2019,Total non-renewable,GWh,61679.049
QLD,2019,Total renewable,GWh,9387.406
QLD,2019,Wind,GWh,624.512
QLD,2020,Biomass,GWh,1218.194
QLD,2020,Black coal,GWh,47083.864
QLD,2020,Brown coal,GWh,
QLD,2020,Geothermal,GWh,
QLD,2020,Hydro,GWh,650.774
QLD,2020,Large-scale solar PV,GWh,3395.973
QLD,2020,Natural gas,GWh,11531.334
QLD,2020,Oil products,GWh,985.015
QLD,2020,Small-scale solar PV,GWh,4607.253
QLD,2020,Total,GWh,70836.942
QLD,2020,Total non-renewable,GWh,59600.213
QLD,2020,Total renewable,GWh,11236.729
QLD,2020,Wind,GWh,1364.535
QLD,2021,Biomass,GWh,1237.922
QLD,2021,Black coal,GWh,45199.451
QLD,2021,Brown coal,GWh,
QLD,2021,Geothermal,GWh,0
QLD,2021,Hydro,GWh,1066.13
QLD,2021,Large-scale solar PV,GWh,3449.111
QLD,2021,Natural gas,GWh,9685.249
QLD,2021,Oil products,GWh,1084.264
QLD,2021,Small-scale solar PV,GWh,5716.917
QLD,2021,Total,GWh,69200.248
QLD,2021,Total non-renewable,GWh,55968.964
QLD,2021,Total renewable,GWh,13231.284
QLD,2021,Wind,GWh,1761.204
QLD,2022,Biomass,GWh,1231.257
QLD,2022,Black coal,GWh,43324.545
QLD,2022,Brown coal,GWh,
QLD,2022,Geothermal,GWh,0
QLD,2022,Hydro,GWh,1214.195
QLD,2022,Large-scale solar PV,GWh,4438.946
QLD,2022,Natural gas,GWh,9732.647
QLD,2022,Oil products,GWh,1042.604
QLD,2022,Small-scale solar PV,GWh,6687.446
QLD,2022,Total,GWh,69587.896
QLD,2022,Total non-renewable,GWh,54099.796
QLD,2022,Total renewable,GWh,15488.1
QLD,2022,Wind,GWh,1916.257
SA,2015,Biomass,GWh,87.015
SA,2015,Black coal,GWh,
SA,2015,Brown coal,GWh,2699.85
SA,2015,Geothermal,GWh,
SA,2015,Hydro,GWh,8.656
SA,2015,Large-scale solar PV,GWh,1.773
SA,2015,Natural gas,GWh,4914.853
SA,2015,Oil products,GWh,151.757
SA,2015,Small-scale solar PV,GWh,847.792
SA,2015,Total,GWh,12928.911
SA,2015,Total non-renewable,GWh,7766.46
SA,2015,Total renewable,GWh,5162.451
SA,2015,Wind,GWh,4217.215
SA,2016,Biomass,GWh,83.938
SA,2016,Black coal,GWh,
SA,2016,Brown coal,GWh,1308.124
SA,2016,Geothermal,GWh,
SA,2016,Hydro,GWh,4.972
SA,2016,Large-scale solar PV,GWh,3.845
SA,2016,Natural gas,GWh,4950.473
SA,2016,Oil products,GWh,160.766
SA,2016,Small-scale solar PV,GWh,941.978
SA,2016,Total,GWh,12016.302
SA,2016,Total non-renewable,GWh,6419.363
SA,2016,Total renewable,GWh,5596.939
SA,2016,Wind,GWh,4562.206
SA,2017,Biomass,GWh,80.068
SA,2017,Black coal,GWh,
SA,2017,Brown coal,GWh,
SA,2017,Geothermal,GWh,
SA,2017,Hydro,GWh,4.907
SA,2017,Large-scale solar PV,GWh,11.714
SA,2017,Natural gas,GWh,7660.133
SA,2017,Oil products,GWh,158.769
SA,2017,Small-scale solar PV,GWh,1068.798
SA,2017,Total,GWh,13873.324
SA,2017,Total non-renewable,GWh,7818.901
SA,2017,Total renewable,GWh,6054.423
SA,2017,Wind,GWh,4888.936
SA,2018,Biomass,GWh,83.369
SA,2018,Black coal,GWh,
SA,2018,Brown coal,GWh,
SA,2018,Geothermal,GWh,
SA,2018,Hydro,GWh,7.583
SA,2018,Large-scale solar PV,GWh,161.186
SA,2018,Natural gas,GWh,6748.735
SA,2018,Oil products,GWh,153.681
SA,2018,Small-scale solar PV,GWh,1275.791
SA,2018,Total,GWh,14134.459
SA,2018,Total non-renewable,GWh,6902.416
SA,2018,Total renewable,GWh,7232.043
SA,2018,Wind,GWh,5704.114
SA,2019,Biomass,GWh,86.499
SA,2019,Black coal,GWh,
SA,2019,Brown coal,GWh,
SA,2019,Geothermal,GWh,
SA,2019,Hydro,GWh,9.539
SA,2019,Large-scale solar PV,GWh,545.059
SA,2019,Natural gas,GWh,7539.928
SA,2019,Oil products,GWh,160.152
SA,2019,Small-scale solar PV,GWh,1548.714
SA,2019,Total,GWh,15584.254
SA,2019,Total non-renewable,GWh,7700.08
SA,2019,Total renewable,GWh,7884.173
SA,2019,Wind,GWh,5694.361
SA,2020,Biomass,GWh,103.272
SA,2020,Black coal,GWh,
SA,2020,Brown coal,GWh,
SA,2020,Geothermal,GWh,
SA,2020,Hydro,GWh,10.269
SA,2020,Large-scale solar PV,GWh,746.695
SA,2020,Natural gas,GWh,6056.225
SA,2020,Oil products,GWh,151.242
SA,2020,Small-scale solar PV,GWh,1912.699
SA,2020,Total,GWh,14836.633
SA,2020,Total non-renewable,GWh,6207.467
SA,2020,Total renewable,GWh,8629.166
SA,2020,Wind,GWh,5856.23
SA,2021,Biomass,GWh,94.53
SA,2021,Black coal,GWh,
SA,2021,Brown coal,GWh,
SA,2021,Geothermal,GWh,
SA,2021,Hydro,GWh,2.981
SA,2021,Large-scale solar PV,GWh,928.762
SA,2021,Natural gas,GWh,4676.016
SA,2021,Oil products,GWh,173.388
SA,2021,Small-scale solar PV,GWh,2326.338
SA,2021,Total,GWh,13935.339
SA,2021,Total non-renewable,GWh,4849.404
SA,2021,Total renewable,GWh,9085.935
SA,2021,Wind,GWh,5733.324
SA,2022,Biomass,GWh,94.138
SA,2022,Black coal,GWh,
SA,2022,Brown coal,GWh,
SA,2022,Geothermal,GWh,
SA,2022,Hydro,GWh,2.502
SA,2022,Large-scale solar PV,GWh,1241.699
SA,2022,Natural gas,GWh,4109.756
SA,2022,Oil products,GWh,227.623
SA,2022,Small-scale solar PV,GWh,2673.059
